"Word","a1","a2","a3","a4"
"rxwk9a419y","3.08179543600039","0","1.76217545590722","102.539846402584"
"ganhar","3.6664404908665","0","5.10272260841746","101.197316508034"
"direction","2.85404194782268","-1.56399472595344","1","151.292142663608"
"unfollower","3.03744914727372","0","1","100.04861731678"
"5glhq7sfzm","3.40490972336196","-0.376396624120023","209.394916380368","51.8449054124257"
"yammouni","3.60288598298266","-0.675611230931813","23.2562152003467","101.087141252016"
"fickle","3.66605062924094","0","1","103.578297679552"
"zouirriall","3.39272873870461","0","1","100.600770645641"
"perfil","3.08081956989461","0","1.85849507575342","102.553925106151"
"statement","3.07956698084859","-1.23988791390004","34.350498171174","150.496904688274"
"brooksbeau","3.98583896372292","-0.828915692892259","22.3252871202696","89.4611825279979"
"besttwnews","4.10695386962957","-0.818983759018914","48.3710442312093","135.563944488516"
"amexqantas","4.10345612294825","-0.47852064000685","49.3491237332753","107.60176632341"
"edenxo","4.09243023836014","-0.759265250390647","49.595235923124","113.512175649039"
"zayn","2.62418983640195","-1.50844984913342","1","154.751236466637"
"visita","3.07666704140922","0","1.47612412058825","102.585338561598"
"4pomusk5gh","3.71485262219722","0","1","103.060499791904"
"hayesgrier","3.50851433707422","0","1","98.9832431890661"
"normani","3.37867815237439","0","1","100.200214465339"
"1dasiacrew","2.82885136716794","0","1","99.7120210951614"
"eles","3.63943426568312","-0.0519867962311642","16.5209141909108","100.533949778063"
"realizes","3.56707398067128","0","1","103.31085925365"
"malik","3.49161284874328","-1.78833514745618","1","153.988557390395"
